30270026	Blason_ville_fr_Seranville_(Meurthe-et-Moselle).svg	[<Seranville>]
39888225	Pedra_do_Elefante.JPG	[<Maricá>]
27105559	HinulugangTaktakjf5080_03.JPG	[<Hinulugang_Taktak>]
21713690	BanderaPradejón.jpg	[<Pradejón>]
12920954	I'r_goedwig._To_the_Forest._-_geograph.org.uk_-_405489.jpg	[<Felindre>]
27808080	View_of_Winsted,_Conn._(2673850457).jpg	[<Connecticut>]
37795439	Rhea_americana,_Península_Valdés,_Argentina_1.jpg	[<Valdes_Peninsula>]
54426731	Duke_Street_area_Ordnance_Survey_map_1870s.jpg	[<London>]
36118245	London,_UK_(August_2014)_-_191.JPG	[<The_National_Gallery,_London>, <Trafalgar_Square>]
56201901	Rincones_de_la_localidad_de_Hernani_(3_de_7)_-_Fondo_Car-Kutxa_Fototeka.jpg	[<wikicat_Municipalities_in_Gipuzkoa>]
69618668	Bundestreffen_der_Danziger_in_der_Ostseehalle_(Kiel_30.498).jpg	[<Ostseehalle>]
74765102	Saint_Paul_Cemetery.jpg	[<Nacogdoches,_Texas>, <wikicat_Cemeteries>]
25699342	Velkolom_Čertovy_schody,_od_Koněpruských_jeskyní_(01).jpg	[<Suchomasty>, <Koněprusy>, <Tmaň>]
12098911	Palacio_de_Aguas_Corrientes_Placa.jpg	[<Aguas_Corrientes>]
25598011	Hammarby_IF_-_IFK_Värnamo_April_2013_01.jpg	[<Björkeryd>]
33761416	BUILDING_284,_INTERIOR_ON_WEST_SIDE_OF_BUILDING._-_Presidio_of_San_Francisco,_Electrical_Shop,_Crissy_Field_North_cantonment,_San_Francisco,_San_Francisco_County,_CA_HABS_CAL,38-SANFRA,178-8.tif	[<National_Register_of_Historic_Places>]
37202044	Mooie_luchten_boven_Wirdum_in_Friesland.jpg	[<Wirdum,_Friesland>]
8442134	Museo_Zumalakarregi_Exposición_El_siglo_XIX_en_caricaturas.jpg	[<Ormaiztegi>]
56138478	Град_Скопје,_Р._Македонија_опш._Центар_-_panoramio_(13).jpg	[<Skopje>]
40140662	Vulkanovka_6.JPG	[<Populated_Place>]
21097837	Berlin_Wall_Invalidenfriedhof_-_Stierch_A_01.jpg	[<Invalidenfriedhof>]
59141286	Осень_в_лесу_-_panoramio_(4).jpg	[<Voronezh>]
23603129	Waterzijde_-_De_Kaag_-_20121450_-_RCE.jpg	[<Kaag>]
